商品名称	商品毛重.kg.	奶源产地	国产或进口	适用年龄.岁.	包装单位	配方	分类	段位	团购价.元.	评价量
惠氏	1.1	爱尔兰	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	320	606
雅士利	0.6	澳洲/新西兰	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	60	16995
特福芬	0.6	德国	进口	1-3岁	箱装	有机奶粉	牛奶粉	3段	295	1075
咔哇熊	1.09	澳洲/新西兰	进口	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	169	850
英氏	0.9	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	378	1014
飞鹤	1.11	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	328	18127
惠氏	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	288	627
特福芬	0.6	德国	进口	0-0.5岁	盒装	有机奶粉	牛奶粉	1段	295	4232
HiPP喜宝	1.017	法国	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	368	20
伊利	0.5	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	93	736
美素	0.4	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	79	329
贝因美	1.1	中国大陆	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	290	883
明一	1.12	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	139	388
伊利	0.8	澳洲/新西兰	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	531	2765
贝因美	1.1	中国大陆	国产	3-6岁	桶装	常规配方奶粉	牛奶粉	4段	110	101
辉山	0.47	中国大陆	国产	0.5-1岁	盒装	常规配方奶粉	牛奶粉	2段	9.9	50
圣元	2	法国	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	272	543
飞鹤	0.5	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	367	252
飞鹤	0.7	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	277.2	141
美素	0.9	其它　	进口	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	179	1608
惠氏	1.2	其它　	国产	3-6岁	盒装	常规配方奶粉	牛奶粉	4段	536	1009
雀巢	0.4	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	2段	154	898
澳优	0.4	中国大陆	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	86	958
飞鹤	0.9	中国大陆	国产	1-3岁	桶装	常规配方奶粉	牛奶粉	3段	178.2	164
圣元	0.5	法国	国产	0-0.5岁	盒装	常规配方奶粉	牛奶粉	1段	85	216
贝因美	1	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	270	649
佳贝艾特	0.4	荷兰	进口	0-0.5岁	桶装	常规配方奶粉	羊奶粉	1段	228	936
美赞臣	1.37	其它　	国产	1-3岁	盒装	常规配方奶粉	牛奶粉	3段	165	1031
完达山	1.13	中国大陆	国产	0.5-1岁	桶装	常规配方奶粉	牛奶粉	2段	318	2420
惠氏	0.9	其它　	进口	0-0.5岁	桶装	常规配方奶粉	牛奶粉	1段	960	1510
